,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,2,Positive,Physical Health,,,Disease test,"At your routine doctor’s appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room for a long time. You think the chances that you have the disease are minimal. ",N/A,Do you think the test results will say you have the disease?,No,Yes,https://drive.google.com/file/d/1mtIOu31sfSD7VQLjrcgYMpLTPYt_4eFO/view?usp=sharing,444.jpg,"At your routine doctor’s appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room for a long time. You think the chances that you have the disease are minimal. ",N/A,Do you think the test results will say you have the disease?,No,,https://drive.google.com/file/d/1mtIOu31sfSD7VQLjrcgYMpLTPYt_4eFO/view?usp=sharing,444.jpg,1
,3,Resilience/Negation,Physical Health,,,Sudden noise,"You are walking when you hear a sudden noise behind you. When you quickly turn your head to see what it is, a feeling of dizziness hits you. You begin to worry you will lose control. ","Noticing these thoughts, you decide that you will be able to cope. So, you keep walking.",Did you let worries get in the way of you walking?,No,Yes,https://drive.google.com/file/d/1EYgCsAXuhxtIYuCSSWKugZP_JiM8jjqz/view?usp=sharing,445.jpg,"You are walking when you hear a sudden noise behind you. When you quickly turn your head to see what it is, a feeling of dizziness hits you. You begin to worry you will lose control. ","Noticing these thoughts, you decide that you will be able to cope. So, you keep walking.",Did you let worries get in the way of you walking?,No,Yes,https://drive.google.com/file/d/1EYgCsAXuhxtIYuCSSWKugZP_JiM8jjqz/view?usp=sharing,445.jpg,1
,4,Positive,Physical Health,,,Sports game cheers,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel thrilled.",N/A,Are you worried that the pounding in your head signifies something serious?,No,Yes,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,446.jpg,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel thrilled.",N/A,Are you worried that the pounding in your head signifies something serious?,No,Yes,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,446.jpg,1
,5,Negative,Physical Health,,,Sports game cheers,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel worried.",N/A,Are you worried that the pounding in your head signifies something serious?,Yes,No,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,446.jpg,"You are at a sports game. The crowd is cheering loudly for your team, and your head is pounding. You feel worried.",N/A,Are you worried that the pounding in your head signifies something serious?,Yes,,https://drive.google.com/file/d/1BxmUUVgj2Iau_pHkovTQetlDHezR_Wkp/view?usp=sharing,446.jpg,1
,6,Positive,Physical Health,,,Checks at the dentist,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you lie in the dentist's chair alone for a while, waiting for the results. You think your teeth and gums are probably healthy.",N/A,Do you think you have gum disease?,No,Yes,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,348.jpg,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you lie in the dentist's chair alone for a while, waiting for the results. You think your teeth and gums are probably healthy.",N/A,Do you think you have gum disease?,No,Yes,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,348.jpg,1
,7,Positive,Physical Health,,,A birthday cake,"Your friend buys you a cake for your birthday. When they bring it over in the evening, they say they have recently gotten over being ill. Holding the cake, you think your chances of becoming sick are small.",N/A,"If you eat the cake, you will probably...",Not get sick,Get sick,https://drive.google.com/file/d/1HQHBTRpNUNY2kQ0B3sOzw3AIKiQ5XsJl/view?usp=sharing,447.jpg,"Your friend buys you a cake for your birthday. When they bring it over in the evening, they say they have recently gotten over being ill. Holding the cake, you think your chances of becoming sick are small.",N/A,"If you eat the cake, you will probably...",Not get sick,Get sick,https://drive.google.com/file/d/1HQHBTRpNUNY2kQ0B3sOzw3AIKiQ5XsJl/view?usp=sharing,447.jpg,1
,8,Positive,Physical Health,,,Carnival ride,"You go on a ride at a carnival. When you get off, you feel dizzy. You are delighted.",N/A,Do you find it fun to feel dizzy after carnival rides?,Yes,No,https://drive.google.com/file/d/1G1sHiVYDnKlOh6uW2-ZdFkqpUQkZOV0x/view?usp=sharing,448.jpg,"You go on a ride at a carnival. When you get off, you feel dizzy. You are delighted.",N/A,Do you find it fun to feel dizzy after carnival rides?,Yes,No,https://drive.google.com/file/d/1G1sHiVYDnKlOh6uW2-ZdFkqpUQkZOV0x/view?usp=sharing,448.jpg,1
,9,Resilience/Negation,Physical Health,,,Walking Trail,"You are on a weekend walking trip with a friend. When you reach a slight incline, you start to breathe heavily. You are scared about what this could mean for your health, especially given that you are out in the wilderness. ","You take a few deep breaths. Paying attention to what it feels like to breathe in and out helps to focus your mind, and you decide to continue.",Are you able to manage your anxiety by observing your breathing?,Yes,No,https://drive.google.com/file/d/1c6ET3nowvSsYvkQarueJoQxQeStMOq--/view?usp=sharing,449.jpg,"You are on a weekend walking trip with a friend. When you reach a slight incline, you start to breathe heavily. You are scared about what this could mean for your health, especially given that you are out in the wilderness. ","You take a few deep breaths. Paying attention to what it feels like to breathe in and out helps to focus your mind, and you decide to continue.",Are you able to manage your anxiety by observing your breathing?,Yes,No,https://drive.google.com/file/d/1c6ET3nowvSsYvkQarueJoQxQeStMOq--/view?usp=sharing,449.jpg,1
,10,Positive,Physical Health,,,Hot surface burn,"While making dinner, you accidentally touch a very hot pan. You quickly put your finger under cold water and can already see your skin turning red. After a few minutes, you think the burn is minor.",N/A,"After running water over your finger, your burn will probably...",Hurt much less,Remain very painful,https://drive.google.com/file/d/1G2YWXv0p1YZmB6Gsfe2dO0xdWf6LUeVB/view?usp=sharing,450.jpg,"While making dinner, you accidentally touch a very hot pan. You quickly put your finger under cold water and can already see your skin turning red. After a few minutes, you think the burn is minor.",N/A,"After running water over your finger, your burn will probably...",Hurt much less,Remain very painful,https://drive.google.com/file/d/1G2YWXv0p1YZmB6Gsfe2dO0xdWf6LUeVB/view?usp=sharing,450.jpg,1
4,1,Positive,Physical Health,,,Comfortable couch,"You had a very busy day, and you are finally able to relax in the evening. As you sit on your couch, you feel spaced-out. You are calm.",N/A,You feel strange because...,You only had one glass of water today,You are coming down with the flu,https://drive.google.com/file/d/18GluoIzVFP_yuVpBX8Em1bx0GIg1TuH2/view?usp=sharing,451.jpg,"You had a very busy day, and you are finally able to relax in the evening. As you sit on your couch, you feel spaced-out. You are calm.",N/A,You feel strange because...,You only had one glass of water today,You are coming down with the flu,https://drive.google.com/file/d/18GluoIzVFP_yuVpBX8Em1bx0GIg1TuH2/view?usp=sharing,451.jpg,2
,2,Positive,Physical Health,,,Tingly fingers,You are helping a friend water their plants and holding the water for a long time. Your fingers begins to tingle. This sensation is funny.,N/A,Do the tingling feelings in your fingers make you nervous?,No,Yes,https://drive.google.com/file/d/1n7oysLfUrSXnp0w2r38eQoTrdQM8-PxP/view?usp=drive_link,452.jpg,You are helping a friend water their plants and holding the water for a long time. Your fingers begin to tingle. This sensation is funny.,N/A,Do the tingling feelings in your fingers make you nervous?,No,Yes,https://drive.google.com/file/d/1n7oysLfUrSXnp0w2r38eQoTrdQM8-PxP/view?usp=drive_link,452.jpg,2
,3,Positive,Physical Health,,,Dry mouth cause,You have experienced dry mouth for a few days. You wonder whether the dry mouth is a minor side effect from a medicine you just started or something more serious. The chance that your dry mouth reflects a serious health problem is small.,N/A,Your dry mouth is probably due to...,A new medication,A serious illness,https://drive.google.com/file/d/1IeejxodAEOPnBK-2VdYiVAvRH6sKjGMd/view?usp=sharing,453.jpg,You have experienced dry mouth for a few days. You wonder whether the dry mouth is a minor side effect from a medicine you just started or something more serious. The chance that your dry mouth reflects a serious health problem is small.,N/A,Your dry mouth is probably due to...,A new medication,A serious illness,https://drive.google.com/file/d/1IeejxodAEOPnBK-2VdYiVAvRH6sKjGMd/view?usp=sharing,453.jpg,2
,4,Resilience/Negation,Physical Health,Mental Health,,Feeling Lightheaded,"You have been working hard all day and have not had much to eat. As you stand up from your desk, you feel dizzy and weak. This makes you a little worried. ",You decide to focus your mind on the sensations. This helps you worry less and makes you feel calmer.,Will your anxiety decrease if you observe your sensations?,Yes,No,https://drive.google.com/file/d/1DivZOcoKB52Y-av9UMmPiIogDTLacT_W/view?usp=sharing,364.jpg,"You have been working hard all day and have not had much to eat. As you stand up from your desk, you feel dizzy and weak. This makes you a little worried. ",You decide to focus your mind on the sensations. This helps you worry less and makes you feel calmer.,Will your anxiety decrease if you observe your sensations?,Yes,No,https://drive.google.com/file/d/1DivZOcoKB52Y-av9UMmPiIogDTLacT_W/view?usp=sharing,364.jpg,2
,5,Positive,Physical Health,,,Looking Unwell,You go home to your parents' home for the holidays and notice that your mother looks frail. You find yourself wondering about her health and whether she's sick. You think her health will probably be good.,,Is your mother's health going to quickly decline?,No,Yes,https://drive.google.com/open?id=14M0hfE-CKp-gWptoKo9ddBx-xAeReDkm&usp=drive_copy,154.jpg,You go home to your daughter's home for the holidays and notice that your daughter looks unwell. You find yourself wondering about her health and whether she's sick. You think her health will probably be good.,,Is your daughter's health going to quickly decline?,No,Yes,https://drive.google.com/open?id=14M0hfE-CKp-gWptoKo9ddBx-xAeReDkm&usp=drive_copy,154.jpg,2
,6,Positive,Physical Health,,,Thoughts at the train station,"You are waiting for the train in a big city, and you notice your leg begin to ache. You worry that you will have to stand on the train, and the pain will get worse. Thinking about how you didn't do anything to injure your leg, you figure this pain is temporary.",N/A,Is there something majorly wrong with your leg?,No,Yes,https://drive.google.com/file/d/1ClAbuwZR2mkRJo44BvUWsBonRFgqp8o9/view?usp=sharing,454.jpg,"You are waiting for the train in a big city, and you notice your leg begin to ache. You worry that you will have to stand on the train, and the pain will get worse. Thinking about how you didn't do anything to injure your leg, you figure this pain is temporary.",N/A,Is there something majorly wrong with your leg?,No,Yes,https://drive.google.com/file/d/1ClAbuwZR2mkRJo44BvUWsBonRFgqp8o9/view?usp=sharing,454.jpg,2
,7,Negative,Physical Health,,,Flashing movie,You are watching a movie in a theater. There are many quick-paced camera shots that make you feel dizzy. This sensation is scary.,N/A,Is it distressing when you feel dizzy?,Yes,No,https://drive.google.com/file/d/1SjRDhO4HJ_WO82IWqrR9SG8vahCwKzNn/view?usp=sharing,443.jpg,You are watching a movie in a theater. There are many quick-paced camera shots that make you feel dizzy. This sensation is scary.,N/A,Is it distressing when you feel dizzy?,Yes,,https://drive.google.com/file/d/1SjRDhO4HJ_WO82IWqrR9SG8vahCwKzNn/view?usp=sharing,443.jpg,2
,8,Positive,Physical Health,Mental Health,,Annual physical exam,"You are getting your annual physical with your doctor. After an initial exam, your doctor says that something looks unusual and that you will need to get a second opinion. When it comes to managing your anxiety while you are in the exam room, you are capable.",N/A,Are you capable of managing your anxiety while waiting for your doctor?,Yes,No,https://drive.google.com/file/d/1gfUANnECP3LDzTjUtm_9lBpdAe3s4Xyw/view?usp=sharing,368.jpg,"You are getting your annual physical with your doctor. After an initial exam, your doctor says that something looks unusual and that you will need to get a second opinion. When it comes to managing your anxiety while you are in the exam room, you are capable.",N/A,Are you capable of managing your anxiety while waiting for your doctor?,Yes,No,https://drive.google.com/file/d/1gfUANnECP3LDzTjUtm_9lBpdAe3s4Xyw/view?usp=sharing,368.jpg,2
,9,Positive,Physical Health,,,Walking pain,"Last weekend, you walked a lot. Since then, you have been experiencing a slight pain in your hip and wonder what this means for the progression of your HD. After resting for the next couple of days, you think this discomfort will subside. ",N/A,You think that the pain in your hip is...,Temporary,A sign of serious injury,https://drive.google.com/file/d/1gO4uoZDw653SarG3mWpECpO7DSWqj83-/view?usp=drive_link,455.jpg,"Last weekend, you walked a lot. Since then, you have been experiencing a slight pain in your hip and wonder what this means for the progression of your PD. After resting for the next couple of days, you think this discomfort will subside. ",N/A,You think that the pain in your hip is...,Temporary,A sign of serious injury,https://drive.google.com/file/d/1gO4uoZDw653SarG3mWpECpO7DSWqj83-/view?usp=drive_link,455.jpg,2
,10,Resilience/Negation,Physical Health,Mental Health,,Heart Rate Worries,"You are at an event and start to talk with some acquaintances. As the room fills, you can tell your heart is beating fast. You feel scared. ","The event gets louder as more people arrive, and you consider leaving. You decide you can handle these feelings and keep on socializing smoothly.",When your heart started beating very fast...,"You managed your anxiety, and stayed",You stopped dancing because of your anxiety,https://drive.google.com/file/d/1cTKQhk1Gcvsa36S3yS-5EU4WtbW56xaQ/view?usp=sharing,383.jpg,"You are at an event and start to talk with some acquaintances. As the room fills, you can tell your heart is beating fast. You feel scared. ","The event gets louder as more people arrive, and you consider leaving. You decide you can handle these feelings and keep on socializing smoothly.",When your heart started beating very fast...,"You managed your anxiety, and stayed",You stopped dancing because of your anxiety,https://drive.google.com/file/d/1cTKQhk1Gcvsa36S3yS-5EU4WtbW56xaQ/view?usp=sharing,383.jpg,2
5,1,Positive,Physical Health,,,An accidental bang,"One evening, you are walking and accidentally hit your head against a low ceiling. The next morning, the headache is still there slightly, and you wonder how bad it will become. By lunchtime, the pain has subsided.",N/A,You think the headache is a sign that you...,Are getting better,Are seriously injured,https://drive.google.com/file/d/146ppWjMD-jv8MsLWh8oFtUXFi-waMntP/view?usp=sharing,456.jpg,"One evening, you are walking and accidentally hit your head against a low ceiling. The next morning, the headache is still there slightly, and you wonder how bad it will become. By lunchtime, the pain has subsided.",N/A,You think the headache is a sign that you...,Are getting better,Are seriously injured,https://drive.google.com/file/d/146ppWjMD-jv8MsLWh8oFtUXFi-waMntP/view?usp=sharing,456.jpg,2
,2,Positive,Physical Health,,,Spacing out,"You are in a meeting listening to someone speak. You stop paying attention and space out for a minute or two. When you begin to pay attention again, you are relaxed.",N/A,Do you feel calm after you space out during the meeting?,Yes,No,https://drive.google.com/file/d/1KAtEMGAr-LWfEzuwFy2roR4vCQ_ecl0O/view?usp=sharing,457.jpg,"You are in a meeting listening to someone speak. You stop paying attention and space out for a minute or two. When you begin to pay attention again, you are relaxed.",N/A,Do you feel calm after you space out during the meeting?,Yes,No,https://drive.google.com/file/d/1KAtEMGAr-LWfEzuwFy2roR4vCQ_ecl0O/view?usp=sharing,457.jpg,2
,3,Resilience/Negation,Physical Health,,,Cold Weather,"It's a cold evening, and you have been walking outside without a jacket. After a few minutes, your body starts to shake. You notice that you feel a little anxious.",You take a moment and wonder what this means. You decide that your body's response to the cold is manageable.,"Before you go indoors again, you... ",Tolerate your body's normal response to the cold,Assume that something bad is happening to you,https://drive.google.com/file/d/1wf6c8LLSodZ_5OvMkPTLXeXSwKibzPvZ/view?usp=sharing,458.jpg,"It's a cold evening, and you have been walking outside without a jacket. After a few minutes, your body starts to shake. You notice that you feel a little anxious.",You take a moment and wonder what this means. You decide that your body's response to the cold is manageable.,"Before you go indoors again, you... ",Tolerate your body's normal response to the cold,Assume that something bad is happening to you,https://drive.google.com/file/d/1wf6c8LLSodZ_5OvMkPTLXeXSwKibzPvZ/view?usp=sharing,458.jpg,2
,4,Positive,Physical Health,,,Blurry eyesight,"You are very tired. As you lie down in your bed, your vision begins to blur. Despite your blurry vision, you are relaxed.",N/A,You realize that...,You are especially tired,You could be losing your vision permanently,https://drive.google.com/file/d/1p3MZ2l74Zw8yLG7DGA22YUKqeK1K3i0n/view?usp=sharing,459.jpg,"You are very tired. As you lie down in your bed, your vision begins to blur. Despite your blurry vision, you are relaxed.",N/A,You realize that...,You are especially tired,You could be losing your vision permanently,https://drive.google.com/file/d/1p3MZ2l74Zw8yLG7DGA22YUKqeK1K3i0n/view?usp=sharing,459.jpg,2
,5,Resilience/Negation,Physical Health,,,Vision Troubles,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that you are going blind.",You take a deep breath and realize that your vision is completely back. Then you remember that sometimes this happens when you sit up too quickly.,Does your momentary blurry vision mean that you are going blind?,No,Yes,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,460.jpg,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that you are going blind.",You take a deep breath and realize that your vision is completely back. Then you remember that sometimes this happens when you sit up too quickly.,Does your momentary blurry vision mean that you are going blind?,No,Yes,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,460.jpg,2
,6,Positive,Physical Health,,,Spider bite,"While hiking, you get bitten by a spider. Your friend assures you that the spider was not venomous and that you will be fine. You worry that it could have been a deadly spider, but you continue your hike because your worries are manageable. ",N/A,Are you able to manage your worries while finishing your hike?,Yes,No,https://drive.google.com/file/d/1toIitkmj6xnqEM3CAiCHxzQrhXRD_p_Q/view?usp=sharing,461.jpg,"While hiking, you get bitten by a spider. Your friend assures you that the spider was not venomous and that you will be fine. You worry that it could have been a deadly spider, but you continue your hike because your worries are manageable. ",N/A,Are you able to manage your worries while finishing your hike?,Yes,No,https://drive.google.com/file/d/1toIitkmj6xnqEM3CAiCHxzQrhXRD_p_Q/view?usp=sharing,461.jpg,2
,7,Negative,Physical Health,,,Checks at the dentist,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you continue to lie in the dentist chair while waiting for the results. You think your teeth and gums are probably diseased.",N/A,Do you think you have gum disease?,Yes,No,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,348.jpg,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you continue to lie in the dentist chair while waiting for the results. You think your teeth and gums are probably diseased.",N/A,Do you think you have gum disease?,Yes,No,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,348.jpg,2
,8,Positive,Physical Health,,,First time ice skating,"Your friend enjoys ice skating and persuades you to try it out. At the rink, you put on the skates and step on the ice. You glide forward slowly at first, then faster as you think your chances of getting injured are minimal.",N/A,"As you continue ice skating, you will probably...",Successfully skate around the rink several times,Fall over and hurt yourself,https://drive.google.com/file/d/1DDUPUz1PJYIlmUsQ4fi7k8l6xKAqzb0q/view?usp=sharing,462.jpg,"Your friend enjoys ice skating and persuades you to try it out. At the rink, you put on the skates and step on the ice. You glide forward slowly at first, then faster as you think your chances of getting injured are minimal.",N/A,"As you continue ice skating, you will probably...",Successfully skate around the rink several times,Fall over and hurt yourself,https://drive.google.com/file/d/1DDUPUz1PJYIlmUsQ4fi7k8l6xKAqzb0q/view?usp=sharing,462.jpg,2
,9,Positive,Physical Health,Social Situations,,An unwashed table,"You meet a friend for lunch at a new restaurant. You realize that your table was not wiped down after the previous customers left, and this makes you anxious about germs. You decide to stay and have lunch with your friend, and your anxiety is tolerable.",N/A,"While eating lunch with your friend, you...",Are able to enjoy the conversation,Are unbearably anxious,https://drive.google.com/file/d/1d3Tz4L7BbfVIgBMIOeEAk7SC_ZshiTvk/view?usp=sharing,463.jpg,"You meet a friend for lunch at a new restaurant. You realize that your table was not wiped down after the previous customers left, and this makes you anxious about germs. You decide to stay and have lunch with your friend, and your anxiety is tolerable.",N/A,"While eating lunch with your friend, you...",Are able to enjoy the conversation,Are unbearably anxious,https://drive.google.com/file/d/1d3Tz4L7BbfVIgBMIOeEAk7SC_ZshiTvk/view?usp=sharing,463.jpg,2
,10,Positive,Physical Health,,,Annual checkup results,"You get blood drawn for your annual physical. Your doctor tells you that you will have to wait a few days to receive the results, and you worry about what the results will say. Over the next few days, the worries are bearable.",N/A,Are your worries about your blood test results tolerable? ,Yes,No,https://drive.google.com/file/d/1BVKNqBpLdgfT2kJpyOrEvhicjUJSFpHZ/view?usp=sharing,464.jpg,"You get blood drawn for your annual physical. Your doctor tells you that you will have to wait a few days to receive the results, and you worry about what the results will say. Over the next few days, the worries are bearable.",N/A,Are your worries about your blood test results tolerable? ,Yes,No,https://drive.google.com/file/d/1BVKNqBpLdgfT2kJpyOrEvhicjUJSFpHZ/view?usp=sharing,464.jpg,2
6,1,Positive,Physical Health,Social Situations,,Sensational Party,"You are at a birthday party for a friend of a friend. You notice that you are flushed and a little sweaty. Standing there, you think that these sensations are normal.",N/A,People will probably...,Not see you sweat since the room is dimly lit,Notice that you are sweating,https://drive.google.com/file/d/1cfjkxrnn1-Ws7c5KzE7-FN0aIqqXiOQF/view?usp=sharing,465.jpg,"You are at a birthday party for a friend of a friend. You notice that you are flushed and a little sweaty. Standing there, you think that these sensations are normal.",N/A,People will probably...,Not see you sweat since the room is dimly lit,Notice that you are sweating,https://drive.google.com/file/d/1cfjkxrnn1-Ws7c5KzE7-FN0aIqqXiOQF/view?usp=sharing,465.jpg,2
,2,Positive,Physical Health,,,Riding a boat,"You are on holiday at a lake and are riding a speed boat for the first time. You're buckled in. Your friend is about to make a turn at moderate speed, and you think that riding a boat is exhilarating.",N/A,"Once you reach the turn, you will probably...",Clear it and continue boating fine,Flip the boat,https://drive.google.com/file/d/14gGzy8x1LnSpUooRiggjZ5-PixOQB8gj/view?usp=drive_link,466.jpg,"You are on holiday at a lake and are riding a speed boat for the first time. You're buckled in. Your friend is about to make a turn at moderate speed, and you think that riding a boat is exhilarating.",N/A,"Once you reach the turn, you will probably...",Clear it and continue boating fine,Flip the boat,https://drive.google.com/file/d/14gGzy8x1LnSpUooRiggjZ5-PixOQB8gj/view?usp=drive_link,466.jpg,2
,3,Resilience/Negation,Physical Health,Mental Health,,Catching Transportation,"You are at the airport rushing to catch a plane. You feel your heart racing as you step on the plan and sit down. Starting to sweat and breathe quickly, you fear that you might have a panic attack.","You have a strong urge to get off the plane and go back home, but you sit down at the nearest seat. Instead of exiting, you decide to observe these sensations and stay seated.",Is it necessary to get off the plane because you feel your heart beating rapidly?,No,Yes,https://drive.google.com/file/d/15BOnlJB7SXDWnFaZP_Cm6vzosTdkmVsp/view?usp=sharing,100.jpg,"You are at the airport rushing to catch a plane. You feel your heart racing as you step on the plan and sit down. Starting to sweat and breathe quickly, you fear that you might have a panic attack.","You have a strong urge to get off the plane and go back home, but you sit down at the nearest seat. Instead of exiting, you decide to observe these sensations and stay seated.",Is it necessary to get off the plane because you feel your heart beating rapidly?,No,Yes,https://drive.google.com/file/d/15BOnlJB7SXDWnFaZP_Cm6vzosTdkmVsp/view?usp=sharing,100.jpg,2
,4,Positive,Physical Health,Social Situations,,Friendly Neighbor,"You notice that you haven't seen your older neighbor recently. You visit them regularly, so it's strange that you haven't seen them lately. Your neighbor has probably been fine.",N/A,Has your elder neighbor likely been sick?,No,Yes,https://drive.google.com/file/d/14_16MBBgKRM9oZwTGSN9GJblFNuwndpf/view?usp=sharing,467.jpg,"You notice that you haven't seen your older neighbor recently. You visit them regularly, so it's strange that you haven't seen them lately. Your neighbor has probably been fine.",N/A,Has your elder neighbor likely been sick?,No,Yes,https://drive.google.com/file/d/14_16MBBgKRM9oZwTGSN9GJblFNuwndpf/view?usp=sharing,467.jpg,2
,5,Negative,Physical Health,,,A Birthday Cake,"Your friend buys you a cake for your birthday. When they bring it over in the evening, they note that they have recently gotten over being ill. Holding the cake, you think your chances of becoming sick are pretty high.",N/A,"If you eat the cake, you will probably...",Get sick,Not get sick,https://drive.google.com/file/d/1HQHBTRpNUNY2kQ0B3sOzw3AIKiQ5XsJl/view?usp=sharing,447.jpg,"Your friend buys you a cake for your birthday. When they bring it over in the evening, they note that they have recently gotten over being ill. Holding the cake, you think your chances of becoming sick are pretty high.",N/A,"If you eat the cake, you will probably...",Get sick,Not get sick,https://drive.google.com/file/d/1HQHBTRpNUNY2kQ0B3sOzw3AIKiQ5XsJl/view?usp=sharing,447.jpg,2
,6,Positive,Physical Health,,,Being Near Someone Sick,You go to the hospital to visit a friend. Someone behind you coughs a few times while you are in the waiting room. The chance that you will get sick is low.,N/A,Is it likely that you will become ill?,No,Yes,https://drive.google.com/file/d/14p-MA9AmO3Kf44iLqLgrc1KHWBpaRA8G/view?usp=sharing,468.jpg,You go to the hospital to visit a friend. Someone behind you coughs a few times while you are in the waiting room. The chance that you will get sick is low.,N/A,Is it likely that you will become ill?,No,Yes,https://drive.google.com/file/d/14p-MA9AmO3Kf44iLqLgrc1KHWBpaRA8G/view?usp=sharing,468.jpg,2
,7,Resilience/Negation,Physical Health,,,Long Distance Walk,"You are on a walk with a group of friends and everyone you're with wants to go along a 5 mile path. As you walk the trail, you see that there is still a long time to go. You think that this walk will be tiring.","You reach the end of the trail, and your friends are taking pictures. Even though you're anxious, you go look around and smile.",Were you able to overcome your anxiety and enjoy the walk? ,Yes,No,https://drive.google.com/file/d/1gYGD8SnyvMsNgSmeWgF1xZiAFm5Pllca/view?usp=sharing,469.jpg,"You are on a walk with a group of friends and everyone you're with wants to go along a 5 mile path. As you walk the trail, you see that there is still a long time to go. You think that this walk will be tiring.","You reach the end of the trail, and your friends are taking pictures. Even though you're anxious, you go look around and smile.",Were you able to overcome your anxiety and enjoy the walk? ,Yes,No,https://drive.google.com/file/d/1gYGD8SnyvMsNgSmeWgF1xZiAFm5Pllca/view?usp=sharing,469.jpg,2
,8,Positive,Physical Health,,,Catching Your Breath,"It's a cool morning, and you're walking to get to your office. You start to feel really winded as you make it to the door. You take a second to breathe and feel calm.",N/A,Does feeling winded scare you?,No,Yes,https://drive.google.com/file/d/1oKNR9wwqt_xhVWvfB_UxP1F71nz31tEN/view?usp=drive_link,470.jpg,"It's a cool morning, and you're walking to get to your office. You start to feel really winded as you make it to the door. You take a second to breathe and feel calm.",N/A,Does feeling winded scare you?,No,Yes,https://drive.google.com/file/d/1oKNR9wwqt_xhVWvfB_UxP1F71nz31tEN/view?usp=drive_link,470.jpg,2
,9,Positive,Physical Health,,,Trampoline Safety,"Your children are bouncing on a trampoline. They are having fun, but you also consider their safety, knowing that trampolines can be dangerous. While watching them bouncing up and down on the trampoline, you feel they are quite safe.",N/A,"As you continue to watch your kids on the trampoline, you will probably...",Enjoy seeing them have fun,Worry they will hurt themselves,https://drive.google.com/file/d/1CUsrIf1BGnnhCTX1GHmaVbo11NgeEMgr/view?usp=sharing,471.jpg,"Your children are bouncing on a trampoline. They are having fun, but you also consider their safety, knowing that trampolines can be dangerous. While watching them bouncing up and down on the trampoline, you feel they are quite safe.",N/A,"As you continue to watch your kids on the trampoline, you will probably...",Enjoy seeing them have fun,Worry they will hurt themselves,https://drive.google.com/file/d/1CUsrIf1BGnnhCTX1GHmaVbo11NgeEMgr/view?usp=sharing,471.jpg,2
,10,Positive,Physical Health,,,A Toothache,"Your tooth has been hurting recently, so you decide to make a dentist appointment. You think about the pain in your tooth and what it might be from. As you wait for your appointment, you will feel calm.",N/A,Can you handle going to the dentist?,Yes,No,https://drive.google.com/file/d/1tx8o8w91aqw3k6CaxI1f-gxpAoV22yp6/view?usp=sharing,472.jpg,"Your tooth has been hurting recently, so you decide to make a dentist appointment. You think about the pain in your tooth and what it might be from. As you wait for your appointment, you will feel calm.",N/A,Can you handle going to the dentist?,Yes,No,https://drive.google.com/file/d/1tx8o8w91aqw3k6CaxI1f-gxpAoV22yp6/view?usp=sharing,472.jpg,2
